item_name,2026-02-12 17:57,2026-02-12 18:52,2026-02-12 19:47,2026-02-12 20:40,2026-02-12 22:09,2026-02-12 23:48,2026-02-13 00:54,2026-02-13 01:50,2026-02-13 01:59,2026-02-13 03:01,2026-02-13 04:49,2026-02-13 05:37,2026-02-13 07:33,2026-02-13 08:30,2026-02-13 11:22,2026-02-13 13:53,2026-02-13 15:00,2026-02-13 16:11,2026-02-13 17:43,2026-02-13 18:44,2026-02-13 19:40,2026-02-13 20:32,2026-02-13 22:01,2026-02-13 23:41,2026-02-14 00:42,2026-02-14 01:48,2026-02-14 02:40,2026-02-14 03:51,2026-02-14 04:42,2026-02-14 05:40,2026-02-14 06:36,2026-02-14 07:34,2026-02-14 08:31,2026-02-14 11:04,2026-02-14 13:42,2026-02-14 14:44,2026-02-14 15:45,2026-02-14 16:34,2026-02-14 17:34,2026-02-14 18:32,2026-02-14 19:27,2026-02-14 20:23,2026-02-14 21:50,2026-02-14 22:45,2026-02-14 23:28,2026-02-15 00:26,2026-02-15 01:30,2026-02-15 02:27,2026-02-15 03:36
10레벨 겁화의 보석,2299999,2299988,2319999,2300000,2330000,2400000,2420000,2400000,2440000,2450000,2490000,2490000,2490000,2490000,2449000,2440000,2488888,2450000,2420000,2420000,2390000,2399000,2449999,2488888,2440000,2440000,2430000,2430000,2430000,2440000,2448000,2450000,2399999,2399000,2444999,2444000,2444000,2420000,2400000,2444998,2443333,2443333,2400000,2420000,2444444,2444998,2444777,2399999,2399998
10레벨 작열의 보석,2218000,2210000,2150000,2223999,2220000,2239000,2250000,2250000,2240000,2240000,2240000,2230000,2240000,2240000,2239000,2259999,2399999,2455555,2365000,2360000,2325000,2350000,2366000,2355000,2360000,2390000,2388888,2388888,2388888,2390000,2390000,2380000,2380000,2290000,2299999,2299000,2300000,2300000,2260000,2280000,2277777,2300000,2289000,2280000,2280000,2285000,2249999,2250000,2285000
8레벨 겁화의 보석,290999,291000,293000,291999,295555,294000,289000,288000,291999,288500,285000,289554,288948,289000,279800,289950,288000,290999,290000,292500,293000,292900,294000,296450,295000,294500,295999,294500,294998,293800,294999,294998,294000,293700,293888,293999,293000,291000,289888,287000,291999,292000,292000,292500,293887,295000,294000,295000,295000
8레벨 작열의 보석,290000,290000,293000,291999,295000,294000,287000,292000,285000,290999,288888,289555,289555,289999,277000,284000,287000,292000,289999,292977,290000,292900,293800,296000,293500,293333,295111,294000,294998,294000,294998,289999,293000,293333,292999,292000,293000,292900,288888,287000,291999,291500,292500,292999,293877,294000,290000,295500,295800
9레벨 겁화의 보석,825000,837749,835999,838995,838995,833000,837600,837000,827000,828299,828500,828500,829000,829000,834000,838950,831000,834000,835000,828000,837000,838999,839999,843950,863999,859000,867900,867900,855000,859999,859999,867999,840000,855000,855000,859900,865000,869999,890000,856666,856555,839999,840000,847997,848000,849999,849499,849499,849500
9레벨 작열의 보석,834899,834899,838995,839999,843555,837777,835000,835000,834000,828500,829000,829000,828999,825000,832999,842000,831000,830000,834000,830000,834500,840000,842000,842900,868888,860000,863500,860000,860000,860000,860000,863400,863400,855000,859000,863500,871111,871111,869000,857000,844444,839999,849999,840000,847500,850000,849499,850000,849999
